No,Cost,Description
1,20,"Binary [yes / no] If the student's father works as a teacher, the value for this feature is YES, otherwise NO."
2,40,"Binary [yes / no] If the student's mother received only basic education (no education at all or only primary school until 4th grade), the value for this feature is YES, otherwise NO."
3,20,"Binary [yes / no] Concerning the job of the student's mother. If the student's mother is a house wife and not otherwise employed, the value for this feature is YES, otherwise NO."
4,20,"Binary [yes / no] Concerning the job of the student's mother. If the student's mother is neither a housewive nor works in neither teaching, health care, civil services (e.g. administrative or police), the value for this feature is YES, otherwise NO."
5,10,"Binary [yes / no] If the student's parents live together, the value for this feature is YES, otherwise NO."
6,30,"Binary [yes / no] Concerning the number of absences. If the student has a high number of absences (more than 21), the value for this feature is YES, otherwise NO."
7,30,"Binary [yes / no] If the student belongs to the older part of the class (older than 19 years), the value for this feature is YES, otherwise NO."
8,20,"Binary [yes / no] Concerning the number of failed classes. If the student has failed no class or only one class, the value for this feature is YES, otherwise NO."
9,20,"Binary [yes / no] Concerning the number of failed classes. If the student has failed exactly 2 classes, the value for this feature is YES, otherwise NO."
10,20,"Binary [yes / no] Concerning the number of failed classes. If the student has failed three classes or more, the value for this feature is YES, otherwise NO."
11,20,"Binary [yes / no] Concerning the student's family size. If the student's family size is rather small (less or equal to three), the value for this feature is YES, otherwise NO."
12,30,"Binary [yes / no] Concerning the student's health status. If the student has an average health status (not bad, but also not exceptional), the value for this feature is YES, otherwise NO."
13,20,"Binary [yes / no] If the student said that he/she would like to pursue higher education after finishing high school, the value for this feature is YES, otherwise NO."
14,20,"Binary [yes / no] If the student takes extra-curricular paid classes (besides the mandatory ones), the value for this feature is YES, otherwise NO."
15,30,"Binary [yes / no] If the student spends less than five hours per week studying, the value for this feature is YES, otherwise NO."
