number_of_features,dataset,ranking_strategy,user_id,AUC,AUC_95_CI_low,AUC_95_CI_high
1.0,student,lay,4u1Mxfh4SP,0.580804915514593,0.5454089184359857,0.5695696230827038
2.0,student,lay,4u1Mxfh4SP,0.6583908918406073,0.5725807574478293,0.5934033256913468
3.0,student,lay,4u1Mxfh4SP,0.6675679045811874,0.5883104366074369,0.6098910805041037
4.0,student,lay,4u1Mxfh4SP,0.6719152435167616,0.6004756194203534,0.6228240272655975
5.0,student,lay,4u1Mxfh4SP,0.6719152435167616,0.6212222802346317,0.6399502500269625
6.0,student,lay,4u1Mxfh4SP,0.6689616879009669,0.6359237877534591,0.6521917181467367
7.0,student,lay,4u1Mxfh4SP,0.6651521640914431,0.6407417301334948,0.6570910650507285
8.0,student,lay,4u1Mxfh4SP,0.6551041836089274,0.649281292123985,0.6636367467943178
9.0,student,lay,4u1Mxfh4SP,0.6853283184241439,0.6592968198944901,0.6719432472225972
10.0,student,lay,4u1Mxfh4SP,0.6763160296376615,0.66969254343225,0.6819223030780164
11.0,student,lay,4u1Mxfh4SP,0.6680901328273245,0.6784286082233897,0.6881746723701874
12.0,student,lay,4u1Mxfh4SP,0.6688978946417276,0.6867884907678615,0.6942208699384461
13.0,student,lay,4u1Mxfh4SP,0.6829958434986898,0.6954961312237818,0.7000037835645102
1.0,student,lay,D3xKVZvmEt,0.5437019969278033,0.5454089184359857,0.5695696230827038
2.0,student,lay,D3xKVZvmEt,0.5475115207373271,0.5725807574478293,0.5934033256913468
3.0,student,lay,D3xKVZvmEt,0.5475115207373271,0.5883104366074369,0.6098910805041037
4.0,student,lay,D3xKVZvmEt,0.5432491190024396,0.6004756194203534,0.6228240272655975
5.0,student,lay,D3xKVZvmEt,0.6049574862202947,0.6212222802346317,0.6399502500269625
6.0,student,lay,D3xKVZvmEt,0.6689616879009669,0.6359237877534591,0.6521917181467367
7.0,student,lay,D3xKVZvmEt,0.6853513147194362,0.6407417301334948,0.6570910650507285
8.0,student,lay,D3xKVZvmEt,0.6814941718622933,0.649281292123985,0.6636367467943178
9.0,student,lay,D3xKVZvmEt,0.7035808710581006,0.6592968198944901,0.6719432472225972
10.0,student,lay,D3xKVZvmEt,0.6977100388542514,0.66969254343225,0.6819223030780164
11.0,student,lay,D3xKVZvmEt,0.7113739947591939,0.6784286082233897,0.6881746723701874
12.0,student,lay,D3xKVZvmEt,0.7064110870154514,0.6867884907678615,0.6942208699384461
13.0,student,lay,D3xKVZvmEt,0.7041555525435982,0.6954961312237818,0.7000037835645102
1.0,student,lay,Mjf3LcqtAB,0.5437019969278033,0.5454089184359857,0.5695696230827038
2.0,student,lay,Mjf3LcqtAB,0.5475115207373271,0.5725807574478293,0.5934033256913468
3.0,student,lay,Mjf3LcqtAB,0.5432491190024396,0.5883104366074369,0.6098910805041037
4.0,student,lay,Mjf3LcqtAB,0.569083762537273,0.6004756194203534,0.6228240272655975
5.0,student,lay,Mjf3LcqtAB,0.6250445920303606,0.6212222802346317,0.6399502500269625
6.0,student,lay,Mjf3LcqtAB,0.6853513147194362,0.6359237877534591,0.6521917181467367
7.0,student,lay,Mjf3LcqtAB,0.6853513147194362,0.6407417301334948,0.6570910650507285
8.0,student,lay,Mjf3LcqtAB,0.674373949579832,0.649281292123985,0.6636367467943178
9.0,student,lay,Mjf3LcqtAB,0.6998736333242975,0.6592968198944901,0.6719432472225972
10.0,student,lay,Mjf3LcqtAB,0.6983124604680582,0.66969254343225,0.6819223030780164
11.0,student,lay,Mjf3LcqtAB,0.6942686364868528,0.6784286082233897,0.6881746723701874
12.0,student,lay,Mjf3LcqtAB,0.6898190566549199,0.6867884907678615,0.6942208699384461
13.0,student,lay,Mjf3LcqtAB,0.6829958434986898,0.6954961312237818,0.7000037835645102
1.0,student,lay,qZncvA3coy,0.5175591397849462,0.5454089184359857,0.5695696230827038
2.0,student,lay,qZncvA3coy,0.5425591397849463,0.5725807574478293,0.5934033256913468
3.0,student,lay,qZncvA3coy,0.5425591397849463,0.5883104366074369,0.6098910805041037
4.0,student,lay,qZncvA3coy,0.6067205656456132,0.6004756194203534,0.6228240272655975
5.0,student,lay,qZncvA3coy,0.6000457215144123,0.6212222802346317,0.6399502500269625
6.0,student,lay,qZncvA3coy,0.6024742929429837,0.6359237877534591,0.6521917181467367
7.0,student,lay,qZncvA3coy,0.6651521640914431,0.6407417301334948,0.6570910650507285
8.0,student,lay,qZncvA3coy,0.6535777536821181,0.649281292123985,0.6636367467943178
9.0,student,lay,qZncvA3coy,0.6713263305322129,0.6592968198944901,0.6719432472225972
10.0,student,lay,qZncvA3coy,0.6581109153338754,0.66969254343225,0.6819223030780164
11.0,student,lay,qZncvA3coy,0.6540806903406524,0.6784286082233897,0.6881746723701874
12.0,student,lay,qZncvA3coy,0.6539429384657088,0.6867884907678615,0.6942208699384461
13.0,student,lay,qZncvA3coy,0.6829958434986898,0.6954961312237818,0.7000037835645102
1.0,student,lay,80gEwRPEQC,0.5802751874943526,0.5454089184359857,0.5695696230827038
2.0,student,lay,80gEwRPEQC,0.606449037679588,0.5725807574478293,0.5934033256913468
3.0,student,lay,80gEwRPEQC,0.5898481069847293,0.5883104366074369,0.6098910805041037
4.0,student,lay,80gEwRPEQC,0.6121846480527695,0.6004756194203534,0.6228240272655975
5.0,student,lay,80gEwRPEQC,0.6164928164814313,0.6212222802346317,0.6399502500269625
6.0,student,lay,80gEwRPEQC,0.5844079244601066,0.6359237877534591,0.6521917181467367
7.0,student,lay,80gEwRPEQC,0.5665831752055661,0.6407417301334948,0.6570910650507285
8.0,student,lay,80gEwRPEQC,0.5672483057739225,0.649281292123985,0.6636367467943178
9.0,student,lay,80gEwRPEQC,0.6233796421794524,0.6592968198944901,0.6719432472225972
10.0,student,lay,80gEwRPEQC,0.6232367850365954,0.66969254343225,0.6819223030780164
11.0,student,lay,80gEwRPEQC,0.6256785036595283,0.6784286082233897,0.6881746723701874
12.0,student,lay,80gEwRPEQC,0.6723988434083312,0.6867884907678615,0.6942208699384461
13.0,student,lay,80gEwRPEQC,0.6744432547212433,0.6954961312237818,0.7000037835645102
1.0,student,lay,4XANexQm3G,0.570786888949128,0.5454089184359857,0.5695696230827038
2.0,student,lay,4XANexQm3G,0.6548626547393149,0.5725807574478293,0.5934033256913468
3.0,student,lay,4XANexQm3G,0.6393528056383844,0.5883104366074369,0.6098910805041037
4.0,student,lay,4XANexQm3G,0.6408289961145749,0.6004756194203534,0.6228240272655975
5.0,student,lay,4XANexQm3G,0.6349242342098129,0.6212222802346317,0.6399502500269625
6.0,student,lay,4XANexQm3G,0.6446002981837896,0.6359237877534591,0.6521917181467367
7.0,student,lay,4XANexQm3G,0.6507179452426131,0.6407417301334948,0.6570910650507285
8.0,student,lay,4XANexQm3G,0.6354836902502936,0.649281292123985,0.6636367467943178
9.0,student,lay,4XANexQm3G,0.6400619860847565,0.6592968198944901,0.6719432472225972
10.0,student,lay,4XANexQm3G,0.638199783139062,0.66969254343225,0.6819223030780164
11.0,student,lay,4XANexQm3G,0.6559354838709677,0.6784286082233897,0.6881746723701874
12.0,student,lay,4XANexQm3G,0.6785486129935845,0.6867884907678615,0.6942208699384461
13.0,student,lay,4XANexQm3G,0.7015141863196892,0.6954961312237818,0.7000037835645102
1.0,student,lay,86WRiI6YzK,0.580804915514593,0.5454089184359857,0.5695696230827038
2.0,student,lay,86WRiI6YzK,0.5721284449263576,0.5725807574478293,0.5934033256913468
3.0,student,lay,86WRiI6YzK,0.5870496972982739,0.5883104366074369,0.6098910805041037
4.0,student,lay,86WRiI6YzK,0.6079110418360892,0.6004756194203534,0.6228240272655975
